length, width, pattern, capture, instantiation, first_launch_api, first_launch_total, repeat_launch_api, repeat_launch_total, first_launch_device, blockingKernelTimeoutDetected, repeat_launch_device, blockingKernelTimeoutDetected, upload_api_time, updoad_device_time, blockingKernelTimeoutDetected, 
15, 1, 0, 9.425, 24.171, 1.415, 34.081, 2.012, 30.513, 28.000, 0.000, 27.680, 0.000, 0.111, 18.880, 0.000, 
15, 1, 0, 9.482, 24.051, 1.528, 34.309, 1.752, 30.169, 28.160, 0.000, 27.520, 0.000, 0.162, 19.200, 0.000, 
15, 1, 0, 9.571, 24.061, 1.469, 33.849, 2.096, 30.908, 28.320, 0.000, 27.520, 0.000, 0.116, 18.879, 0.000, 
15, 1, 0, 9.409, 23.279, 1.704, 34.298, 1.934, 30.296, 28.000, 0.000, 27.520, 0.000, 0.129, 18.560, 0.000, 
15, 1, 0, 9.977, 25.298, 1.901, 34.266, 1.785, 30.109, 28.160, 0.000, 27.680, 0.000, 0.119, 19.040, 0.000, 
16, 1, 0, 10.052, 27.392, 1.902, 36.092, 1.791, 31.343, 29.440, 0.000, 28.800, 0.000, 0.128, 18.240, 0.000, 
16, 1, 0, 10.071, 24.364, 1.694, 35.500, 1.945, 31.559, 29.439, 0.000, 28.800, 0.000, 0.124, 18.880, 0.000, 
16, 1, 0, 9.636, 25.817, 1.483, 35.406, 2.189, 31.687, 30.400, 0.000, 28.800, 0.000, 0.133, 20.799, 0.000, 
16, 1, 0, 10.110, 27.788, 1.765, 36.037, 1.876, 31.578, 29.600, 0.000, 28.799, 0.000, 0.139, 19.520, 0.000, 
16, 1, 0, 9.881, 25.403, 1.542, 35.471, 2.019, 31.536, 29.440, 0.000, 28.800, 0.000, 0.133, 19.200, 0.000, 
16, 1, 0, 9.771, 25.000, 1.880, 35.566, 2.355, 31.646, 29.440, 0.000, 28.800, 0.000, 0.133, 20.000, 0.000, 
16, 1, 0, 9.815, 24.424, 1.967, 35.778, 2.206, 31.920, 29.279, 0.000, 28.960, 0.000, 0.121, 18.560, 0.000, 
16, 1, 0, 9.692, 24.946, 1.847, 35.658, 2.088, 31.795, 30.080, 0.000, 28.800, 0.000, 0.182, 18.719, 0.000, 
16, 1, 0, 10.049, 25.686, 1.546, 35.361, 1.825, 31.189, 29.600, 0.000, 28.799, 0.000, 0.138, 19.680, 0.000, 
16, 1, 0, 10.290, 24.497, 1.937, 35.806, 1.866, 31.540, 29.600, 0.000, 28.960, 0.000, 0.170, 18.720, 0.000, 
17, 1, 0, 10.646, 26.661, 1.947, 37.100, 1.856, 32.987, 30.880, 0.000, 30.240, 0.000, 0.116, 18.720, 0.000, 
17, 1, 0, 10.797, 26.256, 1.791, 37.118, 2.006, 33.213, 31.040, 0.000, 30.240, 0.000, 0.105, 20.000, 0.000, 
17, 1, 0, 10.449, 25.818, 1.694, 36.780, 2.048, 33.565, 30.720, 0.000, 30.240, 0.000, 0.129, 19.360, 0.000, 
17, 1, 0, 10.519, 26.923, 2.057, 37.262, 1.831, 33.087, 30.720, 0.000, 30.400, 0.000, 0.142, 18.720, 0.000, 
17, 1, 0, 10.183, 25.560, 1.551, 37.256, 1.748, 32.778, 30.880, 0.000, 30.400, 0.000, 0.148, 18.400, 0.000, 
