length, width, pattern, capture, instantiation, first_launch_api, first_launch_total, repeat_launch_api, repeat_launch_total, first_launch_device, blockingKernelTimeoutDetected, repeat_launch_device, blockingKernelTimeoutDetected, upload_api_time, updoad_device_time, blockingKernelTimeoutDetected, 
15, 4, 0, 39.326, 3421.364, 10.303, 46.500, 5.097, 43.680, 42.240, 0.000, 42.720, 0.000, 0.565, 8.640, 0.000, 
16, 4, 0, 42.917, 3419.712, 10.671, 48.739, 4.730, 43.949, 44.160, 0.000, 42.560, 0.000, 0.634, 8.320, 0.000, 
16, 4, 0, 41.356, 3412.892, 11.342, 48.473, 4.636, 45.213, 43.680, 0.000, 44.320, 0.000, 0.657, 9.120, 0.000, 
16, 4, 0, 41.395, 3433.307, 9.913, 47.543, 4.856, 44.859, 42.880, 0.000, 43.840, 0.000, 0.691, 8.000, 0.000, 
16, 4, 0, 41.856, 3447.656, 12.274, 49.193, 4.968, 44.523, 44.480, 0.000, 44.480, 0.000, 0.673, 8.800, 0.000, 
16, 4, 0, 41.715, 3449.835, 11.059, 73.529, 4.865, 44.988, 73.760, 0.000, 43.680, 0.000, 0.632, 8.480, 0.000, 
16, 4, 0, 41.482, 3417.295, 10.713, 69.588, 4.720, 44.207, 48.959, 0.000, 43.360, 0.000, 0.664, 8.480, 0.000, 
16, 4, 0, 42.074, 3437.412, 11.850, 69.418, 4.562, 45.430, 50.240, 0.000, 43.040, 0.000, 0.637, 8.800, 0.000, 
16, 4, 0, 42.162, 3435.811, 11.579, 48.410, 5.219, 44.405, 43.360, 0.000, 43.360, 0.000, 0.672, 8.640, 0.000, 
16, 4, 0, 41.767, 3422.419, 11.182, 47.331, 4.735, 44.409, 43.200, 0.000, 44.480, 0.000, 0.636, 8.480, 0.000, 
16, 4, 0, 41.500, 3419.790, 10.285, 47.325, 4.645, 44.875, 44.640, 0.000, 43.360, 0.000, 0.649, 8.480, 0.000, 
