length, width, pattern, capture, instantiation, first_launch_api, first_launch_total, repeat_launch_api, repeat_launch_total, first_launch_device, blockingKernelTimeoutDetected, repeat_launch_device, blockingKernelTimeoutDetected, upload_api_time, upload_device_time, blockingKernelTimeoutDetected, 
9, 1, 0, 6.739, 13.573, 5.763, 16.051, 3.405, 13.571, 11.424, 0.000, 9.856, 0.000, 4.804, 7.616, 0.000, 
9, 1, 0, 6.823, 10.300, 5.256, 16.395, 3.337, 12.842, 11.488, 0.000, 9.632, 0.000, 4.791, 7.168, 0.000, 
9, 1, 0, 6.768, 10.536, 5.460, 16.407, 3.272, 12.871, 11.360, 0.000, 9.504, 0.000, 4.914, 7.584, 0.000, 
9, 1, 0, 6.726, 10.415, 5.426, 16.625, 3.446, 13.268, 11.584, 0.000, 9.504, 0.000, 4.742, 7.552, 0.000, 
9, 1, 0, 6.692, 10.321, 5.971, 16.561, 3.434, 13.044, 11.264, 0.000, 9.536, 0.000, 5.142, 7.744, 0.000, 
9, 1, 0, 6.788, 11.054, 5.590, 16.480, 3.214, 12.981, 11.360, 0.000, 9.472, 0.000, 4.965, 7.168, 0.000, 
9, 1, 0, 6.637, 10.927, 5.462, 16.270, 3.166, 12.773, 11.328, 0.000, 9.792, 0.000, 4.601, 6.784, 0.000, 
9, 1, 0, 6.692, 10.825, 5.173, 16.439, 3.423, 13.216, 11.520, 0.000, 9.952, 0.000, 5.066, 7.552, 0.000, 
9, 1, 0, 6.678, 10.485, 5.018, 16.058, 3.284, 12.830, 11.328, 0.000, 9.632, 0.000, 4.797, 7.232, 0.000, 
9, 1, 0, 6.661, 10.272, 5.139, 15.967, 3.329, 12.875, 11.456, 0.000, 9.632, 0.000, 5.289, 7.456, 0.000, 
10, 1, 0, 7.186, 11.712, 5.637, 17.164, 3.613, 13.483, 12.192, 0.000, 10.240, 0.000, 5.200, 8.128, 0.000, 
10, 1, 0, 7.177, 15.140, 6.053, 17.965, 3.583, 13.556, 12.096, 0.000, 10.688, 0.000, 5.722, 7.680, 0.000, 
10, 1, 0, 7.187, 11.215, 5.453, 16.971, 3.667, 13.540, 12.256, 0.000, 10.368, 0.000, 5.464, 7.808, 0.000, 
10, 1, 0, 7.565, 11.505, 5.911, 17.525, 3.456, 13.728, 12.384, 0.000, 10.432, 0.000, 5.317, 7.648, 0.000, 
10, 1, 0, 7.249, 11.484, 5.363, 17.014, 3.484, 13.633, 12.128, 0.000, 10.400, 0.000, 5.277, 7.808, 0.000, 
10, 1, 0, 7.349, 10.939, 5.547, 17.657, 3.451, 13.405, 12.320, 0.000, 10.464, 0.000, 4.907, 7.680, 0.000, 
10, 1, 0, 7.259, 11.488, 6.039, 17.772, 3.899, 13.796, 12.160, 0.000, 10.272, 0.000, 5.104, 7.744, 0.000, 
10, 1, 0, 7.224, 10.869, 5.226, 17.333, 3.581, 13.709, 12.192, 0.000, 10.304, 0.000, 5.461, 7.680, 0.000, 
10, 1, 0, 7.184, 10.994, 5.397, 16.915, 3.387, 13.463, 12.160, 0.000, 10.240, 0.000, 5.590, 7.200, 0.000, 
10, 1, 0, 7.219, 10.980, 6.103, 17.648, 3.579, 13.719, 12.416, 0.000, 10.336, 0.000, 5.696, 7.712, 0.000, 
11, 1, 0, 7.757, 14.600, 6.071, 18.391, 3.831, 14.551, 13.088, 0.000, 11.424, 0.000, 5.197, 7.808, 0.000, 
11, 1, 0, 7.786, 11.885, 5.443, 18.368, 3.893, 14.951, 13.120, 0.000, 11.392, 0.000, 5.756, 7.328, 0.000, 
11, 1, 0, 7.760, 11.915, 5.693, 18.331, 3.855, 14.685, 13.088, 0.000, 11.424, 0.000, 5.348, 7.648, 0.000, 
11, 1, 0, 7.823, 11.861, 5.812, 46.155, 4.123, 14.796, 12.864, 0.000, 11.488, 0.000, 5.564, 7.904, 0.000, 
11, 1, 0, 8.042, 11.850, 5.498, 17.690, 3.953, 15.193, 12.960, 0.000, 11.584, 0.000, 5.708, 7.584, 0.000, 
11, 1, 0, 7.689, 12.301, 5.891, 19.191, 3.637, 14.817, 12.960, 0.000, 11.616, 0.000, 5.620, 7.552, 0.000, 
11, 1, 0, 7.751, 11.650, 6.477, 18.892, 3.478, 14.641, 13.280, 0.000, 11.584, 0.000, 5.052, 7.584, 0.000, 
11, 1, 0, 7.845, 11.722, 5.525, 18.589, 3.693, 14.647, 13.088, 0.000, 11.392, 0.000, 6.112, 7.808, 0.000, 
11, 1, 0, 7.763, 11.867, 6.669, 18.446, 3.803, 14.866, 12.896, 0.000, 11.808, 0.000, 5.683, 7.776, 0.000, 
11, 1, 0, 7.765, 12.146, 6.416, 19.174, 4.495, 15.868, 13.088, 0.000, 11.456, 0.000, 6.020, 7.456, 0.000, 
