length, width, pattern, capture, instantiation, first_launch_api, first_launch_total, repeat_launch_api, repeat_launch_total, first_launch_device, blockingKernelTimeoutDetected, repeat_launch_device, blockingKernelTimeoutDetected, upload_api_time, updoad_device_time, blockingKernelTimeoutDetected, 
14, 1, 0, 4.388, 18.255, 5.200, 35.537, 8.526, 37.731, 30.698, 0.000, 30.097, 0.000, 0.070, 10.900, 0.000, 
14, 1, 0, 4.549, 18.094, 8.967, 39.364, 8.546, 38.022, 30.176, 0.000, 30.338, 0.000, 0.060, 11.261, 0.000, 
14, 1, 0, 4.238, 21.080, 4.308, 35.136, 11.943, 41.238, 30.177, 0.000, 29.976, 0.000, 0.060, 10.980, 0.000, 
14, 1, 0, 4.288, 17.723, 8.807, 39.725, 8.717, 38.182, 30.057, 0.000, 30.097, 0.000, 0.060, 10.941, 0.000, 
14, 1, 0, 4.479, 18.004, 4.618, 34.905, 7.645, 37.311, 30.136, 0.000, 30.017, 0.000, 0.060, 10.619, 0.000, 
14, 1, 0, 4.298, 17.523, 8.716, 39.644, 8.787, 38.012, 30.056, 0.000, 30.017, 0.000, 0.061, 11.141, 0.000, 
14, 1, 0, 4.177, 17.943, 8.807, 40.056, 8.856, 38.282, 30.017, 0.000, 30.337, 0.000, 0.060, 11.181, 0.000, 
14, 1, 0, 4.398, 17.914, 8.927, 39.294, 3.837, 32.661, 30.138, 0.000, 30.618, 0.000, 0.100, 10.940, 0.000, 
14, 1, 0, 4.268, 17.593, 10.710, 41.428, 8.647, 38.493, 30.137, 0.000, 29.896, 0.000, 0.061, 10.821, 0.000, 
15, 1, 0, 4.669, 20.308, 20.258, 65.183, 8.155, 39.374, 31.941, 0.000, 31.740, 0.000, 0.100, 10.821, 0.000, 
15, 1, 0, 4.718, 19.226, 4.358, 36.999, 8.627, 39.475, 31.620, 0.000, 31.660, 0.000, 0.061, 11.061, 0.000, 
15, 1, 0, 4.438, 18.524, 8.897, 41.839, 5.220, 35.928, 31.860, 0.000, 31.540, 0.000, 0.060, 10.660, 0.000, 
15, 1, 0, 4.408, 18.084, 8.646, 40.987, 8.656, 40.116, 31.941, 0.000, 31.940, 0.000, 0.151, 10.901, 0.000, 
15, 1, 0, 4.909, 19.066, 8.937, 41.268, 4.408, 34.144, 32.060, 0.000, 31.500, 0.000, 0.070, 11.222, 0.000, 
